epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,421.329,0.7845,0.3655,0.8401,0.99916,1,0.995,0.8306,0.73085,0.31447,0.84455,0.000639518,0.000639518,0.000639518
87,426.19,0.80315,0.36798,0.84665,0.99915,1,0.995,0.8357,0.71863,0.31001,0.84221,0.000571106,0.000571106,0.000571106
88,431.306,0.79106,0.37069,0.8401,0.99917,1,0.995,0.8346,0.72686,0.31554,0.84088,0.000507115,0.000507115,0.000507115
89,436.077,0.76483,0.35048,0.83774,0.99917,1,0.995,0.84291,0.71209,0.31591,0.83946,0.000447606,0.000447606,0.000447606
90,441.027,0.78975,0.362,0.84862,0.99917,1,0.995,0.83672,0.70758,0.31127,0.84018,0.00039264,0.00039264,0.00039264
91,445.829,0.7226,0.32748,0.83572,0.99917,1,0.995,0.83362,0.70827,0.31047,0.84156,0.00034227,0.00034227,0.00034227
92,450.813,0.74304,0.33119,0.82302,0.99917,1,0.995,0.83734,0.71082,0.30485,0.84158,0.000296546,0.000296546,0.000296546
93,455.49,0.74176,0.33502,0.82962,0.99917,1,0.995,0.83898,0.70919,0.30144,0.84007,0.000255513,0.000255513,0.000255513
94,460.247,0.73425,0.32719,0.84216,0.99917,1,0.995,0.83425,0.70128,0.29806,0.83918,0.000219212,0.000219212,0.000219212
95,464.821,0.73977,0.32896,0.85012,0.99917,1,0.995,0.84011,0.70159,0.29376,0.83839,0.000187678,0.000187678,0.000187678
96,469.625,0.72736,0.32772,0.82655,0.99917,1,0.995,0.83663,0.70025,0.29224,0.83843,0.000160943,0.000160943,0.000160943
97,474.31,0.73544,0.32808,0.84173,0.99917,1,0.995,0.84188,0.70262,0.30181,0.83931,0.000139032,0.000139032,0.000139032
98,479.042,0.72402,0.31921,0.84036,0.99917,1,0.995,0.84249,0.70886,0.30287,0.8399,0.000121968,0.000121968,0.000121968
99,483.798,0.72435,0.32326,0.83629,0.99917,1,0.995,0.83746,0.71617,0.29844,0.84072,0.000109768,0.000109768,0.000109768
100,488.928,0.7329,0.32921,0.83491,0.99917,1,0.995,0.82821,0.72136,0.29673,0.8418,0.000102443,0.000102443,0.000102443
